I_inj,n_spikes,firing_rate,total_energy,energy_per_spike
0.0,2,1.0000050000250003,316732.1257519356,158366.0628759678
0.8333333333333334,2,1.0000050000250003,315710.1044569453,157855.05222847266
1.6666666666666667,2,1.0000050000250003,314701.5806689126,157350.7903344563
2.5,2,1.0000050000250003,313692.5267994798,156846.2633997399
3.3333333333333335,2,1.0000050000250003,312668.2065285588,156334.1032642794
4.166666666666667,2,1.0000050000250003,311629.75891336706,155814.87945668353
5.0,2,1.0000050000250003,310588.75479389634,155294.37739694817
5.833333333333334,2,1.0000050000250003,309550.98720913386,154775.49360456693
6.666666666666667,2,1.0000050000250003,308517.29502231046,154258.64751115523
7.5,1,0.5000025000125001,307488.53598939587,307488.53598939587
8.333333333333334,1,0.5000025000125001,306467.9535558628,306467.9535558628
9.166666666666668,1,0.5000025000125001,305250.0437739409,305250.0437739409
10.0,1,0.5000025000125001,301513.3401390361,301513.3401390361
10.833333333333334,1,0.5000025000125001,296837.7737049467,296837.7737049467
11.666666666666668,1,0.5000025000125001,292625.2623839284,292625.2623839284
12.5,1,0.5000025000125001,288731.1699327002,288731.1699327002
13.333333333333334,1,0.5000025000125001,285164.0694600469,285164.0694600469
14.166666666666668,1,0.5000025000125001,281817.30251635844,281817.30251635844
15.0,1,0.5000025000125001,278680.3792122187,278680.3792122187
15.833333333333334,1,0.5000025000125001,275729.35630555794,275729.35630555794
16.666666666666668,1,0.5000025000125001,272981.82712668716,272981.82712668716
17.5,1,0.5000025000125001,270546.650209772,270546.650209772
18.333333333333336,1,0.5000025000125001,270018.4954614939,270018.4954614939
19.166666666666668,1,0.5000025000125001,270479.39203557867,270479.39203557867
20.0,1,0.5000025000125001,270495.0650116136,270495.0650116136
